ReturnID,SaleID,ReturnDate,ReturnQuantity,ReturnAmount,ReturnReason,ModifiedDate,CreatedDate,UpdatedDate
200001,129209,2026-01-11,1,5117.0,Late Delivery,2026-01-11 15:27:04,2026-01-11 10:27:04,2026-01-11 15:27:04
200002,132799,2026-01-31,1,6109.63,Defective,2026-02-01 06:04:22,2026-01-31 13:04:22,2026-02-01 06:04:22
200003,141675,2026-01-16,1,2692.64,Customer Changed Mind,2026-01-18 23:47:56,2026-01-16 03:47:56,2026-01-18 23:47:56
200004,127935,2026-01-16,2,2814.33,Damaged,2026-01-18 05:21:31,2026-01-16 03:21:31,2026-01-18 05:21:31
200005,106362,2026-01-08,1,3120.45,Wrong Product,2026-01-11 22:35:23,2026-01-08 01:35:23,2026-01-11 22:35:23
200006,141903,2026-01-01,2,2340.1,Defective,2026-01-03 08:08:45,2026-01-01 12:08:45,2026-01-03 08:08:45
200007,134297,2026-01-15,2,3563.96,Wrong Product,2026-01-16 10:54:55,2026-01-15 18:54:55,2026-01-16 10:54:55
200008,140848,2026-01-12,1,260.09,Late Delivery,2026-01-13 12:18:34,2026-01-12 07:18:34,2026-01-13 12:18:34
200009,102488,2026-01-24,1,3791.41,Defective,2026-01-26 06:50:12,2026-01-24 09:50:12,2026-01-26 06:50:12
200010,100444,2026-01-17,1,1544.79,Customer Changed Mind,2026-01-18 07:09:53,2026-01-17 07:09:53,2026-01-18 07:09:53
200011,130680,2026-01-19,1,2217.17,Customer Changed Mind,2026-01-20 20:05:40,2026-01-19 13:05:40,2026-01-20 20:05:40
200012,137324,2026-01-03,1,3112.75,Customer Changed Mind,2026-01-03 22:36:05,2026-01-03 07:36:05,2026-01-03 22:36:05
200013,132398,2026-01-22,1,4621.62,Wrong Product,2026-01-23 11:50:16,2026-01-22 19:50:16,2026-01-23 11:50:16
200014,136326,2026-01-11,2,5847.22,Late Delivery,2026-01-12 14:11:53,2026-01-11 01:11:53,2026-01-12 14:11:53
200015,109947,2026-01-20,1,5157.28,Wrong Product,2026-01-23 02:38:46,2026-01-20 12:38:46,2026-01-23 02:38:46
200016,121467,2026-01-07,3,2466.98,Defective,2026-01-08 01:58:57,2026-01-07 21:58:57,2026-01-08 01:58:57
200017,131105,2026-01-01,1,3652.77,Damaged,2026-01-04 09:48:57,2026-01-01 11:48:57,2026-01-04 09:48:57
200018,141983,2026-01-23,2,815.04,Customer Changed Mind,2026-01-26 08:56:41,2026-01-23 12:56:41,2026-01-26 08:56:41
200019,112840,2026-01-30,2,5031.08,Damaged,2026-02-01 00:06:13,2026-01-30 06:06:13,2026-02-01 00:06:13
200020,142951,2026-01-24,2,2980.04,Late Delivery,2026-01-24 14:21:35,2026-01-24 12:21:35,2026-01-24 14:21:35
200021,132368,2026-01-14,2,4523.73,Damaged,2026-01-15 09:18:17,2026-01-14 13:18:17,2026-01-15 09:18:17
200022,147185,2026-01-02,2,3156.86,Damaged,2026-01-04 18:35:22,2026-01-02 16:35:22,2026-01-04 18:35:22
200023,124329,2026-01-25,1,807.15,Customer Changed Mind,2026-01-26 14:08:02,2026-01-25 16:08:02,2026-01-26 14:08:02
200024,142219,2026-01-31,1,1959.73,Wrong Product,2026-02-03 16:57:46,2026-01-31 06:57:46,2026-02-03 16:57:46
200025,114274,2026-01-08,1,837.73,Damaged,2026-01-12 00:50:56,2026-01-08 01:50:56,2026-01-12 00:50:56
200026,103834,2026-01-02,1,1473.26,Late Delivery,2026-01-06 09:33:46,2026-01-02 18:33:46,2026-01-06 09:33:46
200027,145186,2026-01-18,2,4969.44,Wrong Product,2026-01-18 05:39:21,2026-01-18 00:39:21,2026-01-18 05:39:21
200028,106905,2026-01-29,2,4665.43,Customer Changed Mind,2026-01-29 23:36:06,2026-01-29 01:36:06,2026-01-29 23:36:06
200029,126554,2026-01-28,1,3686.34,Late Delivery,2026-01-28 18:33:29,2026-01-28 16:33:29,2026-01-28 18:33:29
200030,103960,2026-01-27,1,2065.69,Wrong Product,2026-01-29 10:20:27,2026-01-27 08:20:27,2026-01-29 10:20:27
200031,124805,2026-01-25,1,3329.77,Defective,2026-01-25 19:51:43,2026-01-25 09:51:43,2026-01-25 19:51:43
200032,132723,2026-01-30,2,1962.33,Customer Changed Mind,2026-02-02 02:46:07,2026-01-30 05:46:07,2026-02-02 02:46:07
200033,106975,2026-01-27,3,5631.15,Wrong Product,2026-01-29 01:45:41,2026-01-27 14:45:41,2026-01-29 01:45:41
200034,107040,2026-01-16,1,1021.68,Late Delivery,2026-01-17 22:29:45,2026-01-16 02:29:45,2026-01-17 22:29:45
200035,100579,2026-01-02,3,4963.05,Customer Changed Mind,2026-01-05 15:26:45,2026-01-02 06:26:45,2026-01-05 15:26:45
200036,126592,2026-01-03,2,5780.99,Late Delivery,2026-01-07 11:20:34,2026-01-03 23:20:34,2026-01-07 11:20:34
200037,112180,2026-01-25,1,4883.85,Damaged,2026-01-29 04:50:55,2026-01-25 11:50:55,2026-01-29 04:50:55
200038,118238,2026-01-19,1,3437.79,Damaged,2026-01-23 05:56:58,2026-01-19 22:56:58,2026-01-23 05:56:58
200039,107430,2026-01-06,1,4181.13,Wrong Product,2026-01-06 22:16:38,2026-01-06 17:16:38,2026-01-06 22:16:38
200040,118360,2026-01-25,1,5880.51,Customer Changed Mind,2026-01-27 14:41:08,2026-01-25 23:41:08,2026-01-27 14:41:08
200041,145600,2026-01-25,2,5543.55,Wrong Product,2026-01-29 12:44:35,2026-01-25 22:44:35,2026-01-29 12:44:35
200042,128256,2026-01-02,1,5957.68,Defective,2026-01-02 14:02:51,2026-01-02 06:02:51,2026-01-02 14:02:51
200043,140068,2026-01-26,1,3592.57,Customer Changed Mind,2026-01-27 20:48:55,2026-01-26 03:48:55,2026-01-27 20:48:55
200044,100329,2026-01-24,1,350.73,Damaged,2026-01-26 21:38:00,2026-01-24 15:38:00,2026-01-26 21:38:00
200045,112616,2026-01-23,1,4446.61,Late Delivery,2026-01-24 19:45:45,2026-01-23 03:45:45,2026-01-24 19:45:45
200046,117321,2026-01-31,1,893.45,Wrong Product,2026-02-04 02:05:08,2026-01-31 09:05:08,2026-02-04 02:05:08
200047,148849,2026-01-22,3,972.92,Wrong Product,2026-01-26 03:25:07,2026-01-22 21:25:07,2026-01-26 03:25:07
200048,131397,2026-01-18,1,5524.76,Late Delivery,2026-01-21 01:33:40,2026-01-18 16:33:40,2026-01-21 01:33:40
200049,126204,2026-01-01,1,587.48,Customer Changed Mind,2026-01-05 06:21:45,2026-01-01 17:21:45,2026-01-05 06:21:45
200050,122869,2026-01-26,1,3641.17,Customer Changed Mind,2026-01-28 13:44:30,2026-01-26 04:44:30,2026-01-28 13:44:30
200051,131936,2026-01-11,1,5606.76,Defective,2026-01-11 11:04:17,2026-01-11 05:04:17,2026-01-11 11:04:17
200052,133872,2026-01-26,3,2869.75,Wrong Product,2026-01-27 21:12:15,2026-01-26 22:12:15,2026-01-27 21:12:15
200053,127592,2026-01-21,1,4928.66,Defective,2026-01-21 17:11:42,2026-01-21 00:11:42,2026-01-21 17:11:42
200054,116070,2026-01-26,1,655.4,Late Delivery,2026-01-28 11:52:00,2026-01-26 18:52:00,2026-01-28 11:52:00
200055,142826,2026-01-10,1,3279.17,Late Delivery,2026-01-11 09:41:08,2026-01-10 17:41:08,2026-01-11 09:41:08
200056,128031,2026-01-28,2,2852.83,Damaged,2026-01-29 03:44:10,2026-01-28 22:44:10,2026-01-29 03:44:10
200057,128470,2026-01-11,1,4582.58,Late Delivery,2026-01-14 10:45:10,2026-01-11 03:45:10,2026-01-14 10:45:10
200058,128520,2026-01-03,2,2885.64,Damaged,2026-01-05 02:43:06,2026-01-03 11:43:06,2026-01-05 02:43:06
200059,136130,2026-01-05,1,4763.75,Defective,2026-01-07 20:59:08,2026-01-05 01:59:08,2026-01-07 20:59:08
200060,108175,2026-01-25,1,4742.1,Defective,2026-01-28 04:37:05,2026-01-25 12:37:05,2026-01-28 04:37:05
200061,122614,2026-01-27,3,4857.55,Damaged,2026-01-28 05:23:18,2026-01-27 22:23:18,2026-01-28 05:23:18
200062,120721,2026-01-29,1,475.88,Customer Changed Mind,2026-02-01 08:35:14,2026-01-29 00:35:14,2026-02-01 08:35:14
200063,104105,2026-01-01,3,4705.36,Wrong Product,2026-01-04 13:28:29,2026-01-01 10:28:29,2026-01-04 13:28:29
200064,118496,2026-01-10,1,6414.46,Wrong Product,2026-01-11 11:37:42,2026-01-10 19:37:42,2026-01-11 11:37:42
200065,133521,2026-01-16,3,919.49,Damaged,2026-01-19 17:15:13,2026-01-16 16:15:13,2026-01-19 17:15:13
200066,115696,2026-01-13,3,4593.78,Defective,2026-01-14 05:19:28,2026-01-13 10:19:28,2026-01-14 05:19:28
200067,117969,2026-01-31,3,1457.17,Late Delivery,2026-02-03 04:33:40,2026-01-31 00:33:40,2026-02-03 04:33:40
200068,135677,2026-01-22,2,4120.89,Wrong Product,2026-01-24 09:15:35,2026-01-22 09:15:35,2026-01-24 09:15:35
200069,122882,2026-01-12,2,1183.25,Late Delivery,2026-01-13 02:17:12,2026-01-12 06:17:12,2026-01-13 02:17:12
200070,109812,2026-01-14,1,5558.91,Damaged,2026-01-16 12:02:48,2026-01-14 06:02:48,2026-01-16 12:02:48
